"Date","File"
"2025-05-23 21:41:07 +0900","src/app/favicon.ico"
"2025-06-06 12:53:00 +0900",".github/workflows/disabled/main.yml"
"2025-06-06 12:53:00 +0900",".github/workflows/disabled/vercel-deploy.yml"
"2025-06-06 12:53:00 +0900",".github/workflows/disabled/deploy-check.yml"
"2025-06-06 12:53:00 +0900",".github/workflows/disabled/ci-simplified.yml"
"2025-06-06 12:53:00 +0900",".github/workflows/disabled/ci.yml"
"2025-06-10 18:39:23 +0900","public/manifest.json"
"2025-06-15 00:47:55 +0900","src/components/dashboard/README.md"
"2025-06-15 22:00:41 +0900","src/types/raw/RawServerData.ts"
"2025-06-18 06:50:40 +0900","tests/integration/mcp-analysis.test.ts"
"2025-06-20 01:19:24 +0900","src/lib/events/alertsEmitter.ts"
"2025-06-20 07:59:44 +0900","src/hooks/useRealTimeMetrics.ts"
"2025-06-20 11:30:01 +0900","tests/unit/safe-format.test.ts"
"2025-06-22 07:45:07 +0900","src/types/collector.ts"
"2025-06-22 21:39:36 +0900","public/data/commands/kubernetes-commands.json"
"2025-06-22 21:39:36 +0900","public/data/commands/database-commands.json"
"2025-06-22 21:39:36 +0900","src/data/commands/kubernetes-commands.json"
"2025-06-22 21:39:36 +0900","src/data/commands/database-commands.json"
"2025-06-22 21:39:36 +0900","public/data/commands/linux-commands.json"
"2025-06-22 21:39:36 +0900","src/data/commands/linux-commands.json"
"2025-06-23 01:44:52 +0900","src/data/local-rag/documents/local-kubectl-get.json"
"2025-06-23 01:44:52 +0900","src/data/local-rag/documents/local-ls.json"
"2025-06-23 01:44:52 +0900","src/data/local-rag/documents/local-grep.json"
"2025-06-23 01:44:52 +0900","src/data/local-rag/documents/local-df.json"
"2025-06-23 01:44:52 +0900","src/data/local-rag/documents/local-systemctl.json"
"2025-06-23 01:44:52 +0900","src/data/local-rag/documents/local-top.json"
"2025-06-23 01:44:52 +0900","src/data/local-rag/documents/local-netstat.json"
"2025-07-02 22:46:19 +0900","src/ai-context/core/system-fundamentals.md"
"2025-07-02 22:46:19 +0900","src/ai-context/scenarios/emergency/server-down.md"
"2025-07-02 22:55:24 +0900","src/ai-context/metadata/context-index.json"
"2025-07-03 23:48:27 +0900","src/config/supabase-free-tier-config.ts"
"2025-07-07 19:05:03 +0900","src/utils/systemStateChecker.ts"
"2025-07-08 03:24:29 +0900","tests/unit/core/system/SystemStateManager.test.ts"
"2025-07-08 03:24:29 +0900","src/types/next-auth.d.ts"
"2025-07-09 06:53:31 +0900","src/services/system/SystemStateManager.ts"
"2025-07-11 00:20:20 +0900","src/config/free-tier-config.ts"
"2025-07-14 12:03:15 +0900","infra/database/sql/supabase-schema-setup.sql"
"2025-07-14 12:03:15 +0900","infra/database/sql/setup-pgvector.sql"
"2025-07-14 12:03:15 +0900","infra/database/sql/setup-vector-database.sql"
"2025-07-14 12:03:15 +0900","infra/database/supabase-manual-setup.sql"
"2025-07-14 12:03:15 +0900","infra/database/supabase-quick-setup.sql"
"2025-07-14 12:03:15 +0900","infra/database/supabase-recreate-table-384.sql"
"2025-07-14 12:03:15 +0900","infra/database/sql/create-encrypted-env-table.sql"
"2025-07-14 12:03:15 +0900","infra/database/sql/create-auto-reports-table.sql"
"2025-07-14 12:03:15 +0900","postcss.config.mjs"
"2025-07-14 12:03:15 +0900","infra/database/sql/create_auto_reports_table.sql"
"2025-07-14 12:03:15 +0900","infra/database/sql/create-daily-metrics-table.sql"
"2025-07-14 12:03:15 +0900","infra/database/supabase-rpc-fix.sql"
"2025-07-14 12:03:15 +0900","infra/database/sql/setup-custom-context.sql"
"2025-07-14 12:03:15 +0900","src/app/api/test/enhanced-ai/route.ts.disabled"
"2025-07-16 09:58:36 +0900","supabase/migrations/20250116_create_template_backup_tables.sql"
"2025-07-20 09:31:36 +0900","gcp-functions/unified-ai-processor/main.py"
